frequency_rank,spanish,part_of_speech,english_meaning,korean,category_code
1071,saltar,v,"jump, leap, hop",뛰다,B-2
1072,acaso,adv,"by chance, maybe",어쩌면,B-2
1073,colegio,nm,"(high) school, college",학교,A-3
1074,inmenso,adj,"immense, vast, huge",거대한,A-2
1075,venta,nf,sale,판매,B-2
1076,documento,nm,document,문서,A-1-b
1077,citar,v,"cite, quote","인용하다, 소환하다",A-1-a
1078,televisión,nf,"TV, television",텔레비전,A-2
1079,chico,nm,boy,소년,B-2
1080,novela,nf,novel,소설,A-1-b
1081,requerir,v,require,요구하다,A-2
1082,moral,adj,moral,도덕적인,A-1-a
1083,alcance,nm,"reach, scope",범위,B-2
1084,curioso,adj,"curious, strange","호기심 많은, 이상한",A-2
1085,crisis,nf,crisis,위기,A-1-a
1086,fundamental,adj,fundamental,근본적인,A-1-b
1087,incorporar,v,"incorporate, include",포함하다,A-2
1088,presente,adj,"present, current",현재의,A-1-b
1089,máximo,adj,maximum,최대의,A-3
1090,literatura,nf,literature,문학,A-2
1091,batalla,nf,battle,전투,B-2
1092,europeo,adj,European,유럽의,B-2
1093,dueño,nm,"owner, landlord (m)",주인,B-2
1094,perseguir,v,"persecute, pursue, chase",뒤쫓다,A-3
1095,vecino,nm,neighbor,이웃,B-2
1096,sector,nm,"sector, area, section",부문,A-1-a
1097,pintura,nf,"painting, paint",그림,B-2
1098,accidente,nm,"accident, irregularity",사고,A-2
1099,oficial,adj,"official, authorized",공식적인,A-2
1100,procurar,v,"try, seek",노력하다,A-3
1101,numeroso,adj,numerous,수많은,A-2
1102,influencia,nf,influence,영향,A-2
1103,intelectual,adj,intellectual,지적인,A-2
1104,empleado,nm,employee,직원,A-2
1105,casar,v,marry,결혼하다,B-2
1106,prácticamente,adv,practically,사실상,A-2
1107,moneda,nf,"coins, currency","동전, 통화",B-2
1108,facilidad,nf,"ease, facility","쉬움, 편의",A-2
1109,matrimonio,nm,"marriage, married couple",결혼,A-3
1110,escaso,adj,"scarce, very little",부족한,B-2
1111,iglesia,nf,church,교회,A-3
1112,ayer,adv,yesterday,어제,B-2
1113,oficina,nf,office,사무실,B-2
1114,cristiano,adj,Christian,기독교의,A-2
1115,institución,nf,institution,"기관, 제도",A-2
1116,someter,v,subject,복종시키다,A-3
1117,fundar,v,"found, base",설립하다,A-3
1118,seguro,adj,"safe, sure, secure","안전한, 확실한",A-2
1119,intenso,adj,"intense, acute",강렬한,A-2
1120,frío,nm,cold,추위,B-2
1121,domingo,nm,Sunday,일요일,A-3
1122,reacción,nf,reaction,반응,A-2
1123,elevar,v,"elevate, raise",올리다,A-2
1124,cantar,v,sing,노래하다,B-2
1125,acontecimiento,nm,"event, happening",사건,B-2
1126,costa,nf,coast,해안,A-1-b
1127,peligroso,adj,dangerous,위험한,B-2
1128,lento,adj,slow,느린,B-2
1129,método,nm,method,방법,A-1-a
1130,comunidad,nf,community,공동체,A-2
1131,coche,nm,"car, carriage",자동차,B-2
1132,asumir,v,"assume, take on","맡다, 가정하다",A-2
1133,aclarar,v,"clarify, clear up",분명히 하다,B-2
1134,arrastrar,v,"drag, pull",끌다,B-2
1135,página,nf,page,페이지,A-3
1136,declarar,v,"declare, testify",선언하다,A-2
1137,frecuencia,nf,frequency,빈도,A-2
1138,conclusión,nf,"conclusion, end",결론,A-2
1139,escena,nf,"scene, stage, setting","장면, 무대",A-3
1140,falso,adj,false,거짓의,A-1-b
1141,estructura,nf,structure,구조,A-2
1142,beneficio,nm,"benefit, profit","이익, 혜택",A-2
1143,alimento,nm,"food, nourishment",음식,A-3
1144,tranquilo,adj,"calm, tranquil, relaxed",조용한,B-2
1145,velocidad,nf,"speed, velocity",속도,A-2
1146,barrio,nm,"neighborhood, district",동네,B-2
1147,nombrar,v,"name, appoint",임명하다,A-3
1148,análisis,nm,analysis,분석,A-2
1149,confundir,v,confuse,혼동하다,A-2
1150,frontera,nf,"border, frontier",국경,A-3
1151,describir,v,describe,묘사하다,A-3
1152,lejano,adj,distant,먼,B-2
1153,breve,adj,"brief, short",짧은,A-3
1154,temor,nm,fear,두려움,A-3
1155,calcular,v,"calculate, figure out",계산하다,A-2
1156,conformar,v,conform,따르다,A-2
1157,ataque,nm,"attack, raid",공격,B-2
1158,pintar,v,paint,칠하다,A-1-b
1159,cine,nm,"cinema, US movie theater",영화관,A-3
1160,rama,nf,"branch, bough, limb",나뭇가지,A-3
1161,repartir,v,"divide, deliver, distribute",나눠주다,B-2
1162,comienzo,nm,"start, beginning",시작,B-2
1163,exterior,adj,"exterior, outside",외부의,A-1-a
1164,barco,nm,"boat, ship","배, 선박",B-2
1165,partida,nf,"game, match, departure","경기, 출발",B-2
1166,hallar,v,find (out),발견하다,B-2
1167,ordenar,v,"put in order, organize","정리하다, 명령하다",A-2
1168,aparato,nm,"apparatus, device","장치, 기구",A-2
1169,convencer,v,"convince, persuade",설득하다,A-2
1170,médico,adj,medical,의학의,A-2
1171,extranjero,nm,foreigner,외국인,A-3
1172,cámara,nf,"camera, chamber",카메라,A-1-a
1173,creación,nf,creation,창조,A-2
1174,rodear,v,surround,둘러싸다,B-2
1175,ajeno,adj,"not belonging to, detached","다른 사람의, 관계없는",B-2
1176,reflejar,v,reflect,반사하다,A-2
1177,gana,nf,desire,욕구,B-2
1178,seco,adj,"dry, arid",마른,B-2
1179,quinto,adj,fifth,다섯번째의,B-2
1180,moda,nf,"fashion, form","패션, 유행",A-1-a
1181,absolutamente,adv,"absolutely, completely",절대적으로,A-2
1182,rechazar,v,reject,거절하다,A-3
1183,contribuir,v,contribute,기여하다,A-2
1184,ruido,nm,noise,소음,B-2
1185,cama,nf,bed (furniture),침대,B-2
1186,infantil,adj,"of children, childlike, infantile",어린이의,A-2
1187,técnica,nf,"technique, skill","기술, 기법",A-2
1188,consejo,nm,"advice, council, counsel","조언, 위원회",A-3
1189,internacional,adj,international,국제적인,A-2
1190,violencia,nf,violence,폭력,A-2
1191,original,adj,original,독창적인,A-1-a
1192,sonido,nm,sound,소리,A-3
1193,vencer,v,"overcome, conquer","이기다, 극복하다",B-2
1194,estrella,nf,star,별,B-2
1195,útil,adj,useful,유용한,A-3
1196,alejar,v,move away,멀리하다,B-2
1197,mirada,nf,"gaze, look",시선,B-2
1198,tremendo,adj,"tremendous, dreadful, huge",엄청난,A-2
1199,cuándo,adv,when?,언제,B-2
1200,temprano,adj,early,이른,B-2
1201,pierna,nf,leg,다리,B-2
1202,transmitir,v,"transmit, broadcast",전송하다,A-2
1203,marchar,v,"go, leave, march","가다, 행진하다",A-1-a
1204,hambre,nf (el),"hunger, starvation",배고픔,B-2
1205,placer,nm,pleasure,기쁨,B-2
1206,profesión,nf,"profession, occupation",직업,A-2
1207,destruir,v,"destroy, ruin",파괴하다,A-2
1208,separado,adj,separate,분리된,A-2
1209,opinar,v,"think, be of the opinion",의견을 갖다,A-2
1210,objetivo,nm,objective,목표,A-2
1211,honor,nm,"honor, honesty",명예,A-1-a
1212,montaña,nf,mountain,산,A-3
1213,cometer,v,commit,저지르다,A-2
1214,lógico,adj,logical,논리적인,A-2
1215,instante,nm,"instant, moment",순간,A-2
1216,viento,nm,"wind, scent",바람,A-3
1217,lluvia,nf,rain,비,A-3
1218,ejército,nm,army,군대,B-2
1219,trasladar,v,"move, transfer",옮기다,A-3
1220,tren,nm,"train, convoy",기차,A-1-b
1221,concluir,v,"conclude, finish",결론짓다,A-2
1222,círculo,nm,"circle, club",원,A-2
1223,auténtico,adj,authentic,진정한,A-2
1224,hermoso,adj,"beautiful, lovely",아름다운,B-2
1225,oponer,v,oppose,반대하다,A-2
1226,ventaja,nf,"advantage, benefit",이점,B-2
1227,figurar,v,"appear, represent, figure (in)",나타나다,A-2
1228,terrible,adj,terrible,끔찍한,A-1-b
1229,isla,nf,island,섬,A-3
1230,torno,nm,"en torno a: about, regarding",~주위에,B-2
1231,sentado,adj,seated,앉아있는,B-2
1232,amistad,nf,friendship,우정,B-2
1233,concentrar,v,concentrate,집중하다,A-2
1234,correcto,adj,"correct, suitable",정확한,A-2
1235,mañana,adv,tomorrow,내일,B-2
1236,cadena,nf,chain,"사슬, 체인",B-2
1237,político,nm/f,politician,정치인,A-2
1238,rey,nm,king,왕,B-2
1239,permanente,adj,permanent,영구적인,A-2
1240,ánimo,nm,"zest, spirit, heart","기분, 정신",B-2
1241,trato,nm,"treatment, manner, agreement",대우,B-2
1242,ejercicio,nm,"exercise, practice","운동, 연습",A-2
1243,organización,nf,organization,조직,A-2
1244,agosto,nm,August,8월,A-3
1245,secretario,nm/f,secretary,비서,A-2
1246,norteamericano,adj,North American,북미의,B-2
1247,ignorar,v,be unaware,무시하다,A-1-a
1248,dedo,nm,"finger, toe, digit",손가락,B-2
1249,gasto,nm,"expense, expenditure",비용,B-2
1250,café,nm,"coffee, café",커피,A-1-b
1251,diálogo,nm,"dialogue, conversation",대화,A-2
1252,dudar,v,(have) doubt,의심하다,B-2
1253,comercial,adj,"commercial, shopping",상업의,A-2
1254,discurso,nm,"lecture, discourse, talk",연설,B-2
1255,obligado,adj,"obliged, required",의무적인,A-3
1256,hermana,nf,sister,"자매, 누이",B-2
1257,descansar,v,rest,쉬다,B-2
1258,caja,nf,"bank, box, safe","상자, 금고",B-2
1259,juez,nc,judge,판사,A-3
1260,particular,nm,"particular, detail, individual",특정 사항,A-1-a
1261,americano,adj,American,미국의,A-2
1262,poeta,nc,poet,시인,A-1-b
1263,interior,adj,"interior, inside",내부의,A-1-a
1264,sorpresa,nf,surprise,놀라움,A-2
1265,ventana,nf,window,창문,B-2
1266,característica,nf,"characteristic, aspect",특징,A-2
1267,adoptar,v,adopt,채택하다,A-2
1268,arrancar,v,"start (machine), uproot","시동을 걸다, 뿌리 뽑다",B-2
1269,disfrutar,v,enjoy,즐기다,B-2
1270,práctico,adj,"practical, skillful",실용적인,A-2
1271,suma,nf,"sum, amount, summary",합계,A-1-b
1272,molestar,v,"bother, disturb, upset",방해하다,B-2
1273,excelente,adj,excellent,훌륭한,A-2
1274,volumen,nm,volume,"부피, 볼륨",A-1-b
1275,estación,nf,"station, season","역, 계절",A-2
1276,atrever,v,dare,감히 ~하다,B-2
1277,cultural,adj,cultural,문화의,A-2
1278,complejo,adj,"complex, complicated",복잡한,A-1-b
1279,argumento,nm,"argument, plot","주장, 줄거리",A-2
1280,categoría,nf,category,범주,A-2
1281,plata,nf,"silver, money","은, 돈",B-2
1282,conflicto,nm,conflict,갈등,A-2
1283,avión,nm,"plane, airplane, aircraft",비행기,A-3
1284,débil,adj,weak,약한,B-2
1285,ropa,nf,"clothes, clothing",옷,B-3
1286,examen,nm,"examination, exam",시험,A-2
1287,habitante,nm,inhabitant,주민,A-2
1288,acerca,adv,"about, concerning",~에 관하여,B-2
1289,ceder,v,"give way, yield","양보하다, 굴복하다",B-2
1290,justicia,nf,"justice, fairness",정의,A-2
1291,independiente,adj,"independent, self-sufficient",독립적인,A-2
1292,criterio,nm,criterion,기준,A-2
1293,atraer,v,attract,끌다,A-2
1294,convencido,adj,"convinced, persuaded",확신하는,B-2
1295,plazo,nm,"deadline, installment","기간, 할부금",B-2
1296,pendiente,adj,"aware of, pending","~에 주의하는, 미결의",A-3
1297,kilómetro,nm,kilometer,킬로미터,A-2
1298,hospital,nm,hospital,병원,A-1-a
1299,satisfacción,nf,satisfaction,만족,A-2
1300,futuro,adj,future,미래의,A-1-a
1301,acumular,v,"accumulate, amass",축적하다,A-2
1302,desconocido,adj,unknown,알려지지 않은,B-2
1303,practicar,v,practice,연습하다,A-2
1304,gozar,v,enjoy,즐기다,B-2
1305,muchísimo,adj,"great many, great amount",아주 많은,B-2
1306,sesenta,num,sixty,예순,B-2
1307,silla,nf,"chair, seat",의자,B-2
1308,justificar,v,"justify, excuse",정당화하다,A-2
1309,tradicional,adj,traditional,전통적인,A-2
1310,soportar,v,"endure, stand (something)",견디다,A-3
1311,juventud,nf,youth,젊음,B-2
1312,resistir,v,"resist, endure",저항하다,A-2
1313,aparte,adv,"apart, aside, separately",따로,B-2
1314,triste,adj,"sad, unhappy",슬픈,B-2
1315,acceso,nm,"access, entry",접근,A-2
1316,marco,nm,"frame, mark, setting","틀, 마르크(화폐)",B-2
1317,vestir,v,"wear, dress",옷을 입다,A-3
1318,prensa,nf,press,언론,B-2
1319,excepción,nf,exception,예외,A-2
1320,sorprender,v,surprise,놀라게 하다,A-2
1321,ausencia,nf,absence,부재,A-2
1322,proceder,v,"proceed, start","진행하다, 비롯되다",A-2
1323,condenar,v,"convict, condemn",선고하다,A-2
1324,sombra,nf,"shade, shadow",그늘,B-2
1325,similar,adj,similar,비슷한,A-1-a
1326,consumir,v,"consume, take in",소비하다,A-2
1327,sugerir,v,"suggest, hint at",제안하다,A-2
1328,activo,adj,active,활동적인,A-1-a
1329,clásico,adj,classic,고전의,A-2
1330,profundidad,nf,"depth, profundity",깊이,B-2
1331,conceder,v,"grant, concede",주다,A-2
1332,reciente,adj,recent,최근의,A-2
1333,eléctrico,adj,electric,전기의,A-2
1334,leche,nf,milk,우유,B-2
1335,consideración,nf,"consideration, regard",고려,A-2
1336,componer,v,"compose, be part of",구성하다,A-2
1337,premio,nm,"prize, reward","상, 상품",B-2
1338,bello,adj,"beautiful, fine",아름다운,B-2
1339,nacimiento,nm,"birth, origin","탄생, 출생",B-2
1340,invierno,nm,winter,겨울,B-2
1341,diciembre,nm,December,12월,A-3
1342,brillante,adj,"brilliant, shiny, sparkling",빛나는,A-2
1343,comportamiento,nm,"behavior, conduct",행동,B-2
1344,crítica,nf,"criticism, critique",비평,A-2
1345,femenino,adj,"feminine, female",여성의,A-2
1346,fuego,nm,"fire, gunfire",불,B-2
1347,tendencia,nf,"tendency, style",경향,A-2
1348,fino,adj,"fine, delicate","가는, 섬세한",A-1-a
1349,norma,nf,"standard, pattern, norm",규범,A-1-a
1350,inferior,adj,"lower, inferior",아래의,A-1-a
1351,arreglar,v,"fix, arrange","고치다, 정리하다",B-2
1352,rueda,nf,wheel,바퀴,B-2
1353,puente,nm,bridge,다리,B-2
1354,animar,v,cheer up,격려하다,A-2
1355,rasgo,nm,"feature, trait",특징,B-2
1356,positivo,adj,positive,긍정적인,A-2
1357,cuento,nm,"story, tale",이야기,B-2
1358,definitivamente,adv,"definitely, finally",확실히,A-2
1359,signo,nm,"sign, mark, symbol","기호, 표시",A-1-a
1360,señal,nf,"sign, mark, token",신호,B-2
1361,apuntar,v,"point, note, aim","가리키다, 적다",B-2
1362,campaña,nf,campaign,캠페인,A-3
1363,liberar,v,"free, liberate",해방시키다,A-2
1364,puerto,nm,"port, harbor",항구,A-1-b
1365,profundamente,adv,"profoundly, deeply",깊이,A-3
1366,aventura,nf,adventure,모험,A-2
1367,pesado,adj,"heavy, boring, tiresome",무거운,B-2
1368,complicado,adj,"complicated, complex",복잡한,A-2
1369,añadir,v,add,추가하다,B-2
1370,marca,nf,"mark, brand, trademark","상표, 표시",A-1-a
1371,girar,v,"rotate, revolve",회전하다,A-3
1372,ilusión,nf,"illusion, hope, dream","환상, 희망",A-2
1373,os,pron,you (obj-pl/+fam),너희에게,B-1
1374,compra,nf,"shopping, buy, purchase","구매, 쇼핑",B-2
1375,inteligencia,nf,intelligence,지능,A-2
1376,volar,v,fly,날다,B-2
1377,loco,adj,"crazy, insane",미친,B-2
1378,virtud,nf,"virtue, quality",미덕,A-1-b
1379,remedio,nm,"alternative, cure, solution","해결책, 치료법",A-3
1380,delicado,adj,delicate,섬세한,A-2
1381,facilitar,v,facilitate,용이하게 하다,A-2
1382,territorio,nm,territory,영토,A-2
1383,facultad,nf,"faculty, ability","능력, 학부",A-2
1384,solicitar,v,"solicit, request",요청하다,B-2
1385,fotografía,nf,photograph,사진,A-2
1386,techo,nm,roof,지붕,B-2
1387,temer,v,fear,두려워하다,B-2
1388,conducta,nf,"conduct, behavior",행동,A-2
1389,violento,adj,violent,폭력적인,A-2
1390,aquél,pron,that one over there (m),저것,B-1
1391,salto,nm,"jump, hop, skip",점프,B-2
1392,pan,nm,bread,빵,A-3
1393,atacar,v,attack,공격하다,B-2
1394,sano,adj,"healthy, wholesome",건강한,B-2
1395,pegar,v,"hit, stick (on)","때리다, 붙이다",B-2
1396,juzgar,v,judge,판단하다,A-3
1397,limpio,adj,clean,깨끗한,B-2
1398,disposición,nf,"disposal, disposition","배치, 성향",A-2
1399,posterior,adj,"rear, backside",뒤의,A-2
1400,general,nm,general,장군,A-1-a
1401,disciplina,nf,"discipline, subject","규율, 학문 분야",A-2
1402,relacionado,adj,"related, regarding",관련된,A-2
1403,habitual,adj,"usual, habitual, customary",습관적인,A-2
1404,personal,nm,"personnel, staff, staffing",직원,A-1-a
1405,interrumpir,v,interrupt,방해하다,A-2
1406,columna,nf,"column, spine","기둥, 척추",A-2
1407,verdaderamente,adv,truly,진정으로,B-2
1408,fabricar,v,manufacture,제조하다,A-3
1409,únicamente,adv,only,오직,B-2
1410,nervioso,adj,"nervous, uptight",긴장한,A-2
1411,indio,nm,Indian,인디언,A-2
1412,gato,nm,cat,고양이,A-4
1413,margen,nmf,"edge, margin, border, brink",가장자리,A-1-b
1414,material,adj,material,물질의,A-1-a
1415,resistencia,nf,"resistance, opposition",저항,A-2
1416,consciente,adj,"conscious, aware",의식하는,A-2
1417,pérdida,nf,loss,손실,B-2
1418,tratamiento,nm,"treatment, processing","치료, 처리",A-3
1419,entrevista,nf,"interview, meeting",인터뷰,B-2
1420,espectáculo,nm,"spectacle, show","공연, 구경거리",B-2
1421,personalidad,nf,"personality, celebrity","성격, 인격",A-2
1422,mayo,nm,May,5월,B-2
1423,confiar,v,"trust, confide",믿다,B-2
1424,operar,v,operate,"작동하다, 수술하다",A-2
1425,representación,nf,representation,표현,A-2
1426,régimen,nm,"regime, diet","체제, 정권",A-3
1427,punta,nf,"tip, point",끝,B-2
1428,vital,adj,"vital, lively, essential",필수적인,A-1-a
1429,alegría,nf,"joy, happiness",기쁨,B-2
1430,basar,v,"base on, base upon",~에 기초하다,A-1-b
1431,igualmente,adv,equally,마찬가지로,A-2
1432,misión,nf,"mission, task",임무,A-2
1433,estimar,v,"estimate, hold in esteem",추정하다,A-2
1434,cotidiano,adj,daily,일상의,B-2
1435,confirmar,v,confirm,확인하다,A-2
1436,empleo,nm,"work, job, occupation",고용,A-2
1437,previo,adj,previous,이전의,A-3
1438,participación,nf,"participation, involvement",참여,A-2
1439,integrar,v,"integrate, fit in",통합하다,A-2
1440,período,nm,"period, time",기간,A-2
1441,busca,nf,"search, hunt",수색,B-2
1442,superficie,nf,"surface, area",표면,A-2
1443,aprobar,v,"pass (test), approve","합격하다, 승인하다",A-3
1444,chino,adj,Chinese,중국의,B-2
1445,pasión,nf,"passion, desire",열정,A-2
1446,vehículo,nm,"vehicle, car",차량,A-2
1447,inteligente,adj,intelligent,똑똑한,A-2
1448,grabar,v,"record, engrave",녹음하다,A-3
1449,enero,nm,January,1월,B-2
1450,capítulo,nm,chapter,장,A-3
1451,fracaso,nm,"failure, collapse",실패,B-2
1452,experto,nm,expert,전문가,A-1-b
1453,inquietud,nf,"restlessness, anxiety","불안, 걱정",B-2
1454,nuevamente,adv,"anew, again",다시,B-2
1455,once,num,eleven,열하나,B-2
1456,listo,adj,"ready, clever, smart","준비된, 똑똑한",B-2
1457,equivocar,v,be wrong,실수하다,B-2
1458,organismo,nm,"organization, organism, (human) body","유기체, 조직",A-2
1459,canción,nf,song,노래,B-2
1460,religión,nf,religion,종교,A-2
1461,correspondiente,adj,corresponding,해당하는,A-2
1462,departamento,nm,"department, apartment",부서,A-2
1463,generalmente,adv,"generally, usually",일반적으로,A-2
1464,periodista,nc,journalist,기자,A-2
1465,seguido,adj,"in a row, successive",연속적인,B-2
1466,llorar,v,cry,울다,B-2
1467,griego,adj,Greek,그리스의,B-2
1468,interpretación,nf,"interpretation, interpreting",해석,A-2
1469,maestro,adj,master,주된,A-3
1470,barato,adj,inexpensive,저렴한,B-2
1471,proyectar,v,project,계획하다,A-2
1472,belleza,nf,beauty,아름다움,B-2
1473,universidad,nf,"university, college",대학교,A-2
1474,riqueza,nf,"riches, wealth","부, 풍요",B-2
1475,notable,adj,"outstanding, noteworthy",주목할 만한,A-2
1476,beber,v,drink,마시다,B-2
1477,claramente,adv,clearly,명확하게,A-2
1478,rato,nm,"moment, while, time",잠깐,B-2
1479,encargado,adj,in charge of,담당하는,B-2
1480,técnico,adj,technical,기술적인,A-2
1481,ciego,adj,blind,눈이 먼,B-2
1482,individual,adj,individual,개인의,A-1-a
1483,apreciar,v,appreciate,감사하다,A-2
1484,experimentar,v,"experience, experiment",경험하다,A-2
1485,justamente,adv,"just, exactly",바로,A-2
1486,amar,v,love,사랑하다,A-3
1487,equilibrio,nm,balance,균형,B-2
1488,universal,adj,universal,보편적인,A-1-a
1489,ah,interj,oh,아!,B-1
1490,fruto,nm,"fruit, result","과일, 결과",A-3
1491,representante,nc,representative,대표자,A-2
1492,robar,v,"rob, steal",훔치다,B-2
1493,reír,v,laugh (at),웃다,A-3
1494,literario,adj,literary,문학의,A-2
1495,exceso,nm,excess,초과,A-2
1496,capa,nf,"layer, coat",층,B-2
1497,defecto,nm,defect,결함,A-2
1498,fábrica,nf,"factory, manufacture",공장,A-3
1499,espalda,nf,back (body),등,B-2
1500,mezclar,v,mix,섞다,B-2
1501,género,nm,"sort, gender, genre","종류, 성별, 장르",A-3
1502,continuo,adj,continuous,계속적인,A-2
1503,distribuir,v,"distribute, deliver","분배하다, 배포하다",A-2
1504,economía,nf,"economy, economics, thriftiness",경제,A-2
1505,apartar,v,"move away, separate","떨어뜨리다, 분리하다",B-2
1506,bosque,nm,forest,숲,B-2
1507,reclamar,v,"demand, require",요구하다,A-3
1508,paisaje,nm,landscape,풍경,B-2
1509,quemar,v,burn,태우다,B-2
1510,llamado,nm,"call, calling","부름, 소명",B-2
1511,paciente,nc,patient,환자,A-2
1512,elevado,adj,"elevated, high, lofty",높은,A-2
1513,obedecer,v,obey,복종하다,B-2
1514,tensión,nf,"tension, stress, strain","긴장, 압력",A-2
1515,establecido,adj,established,확립된,A-2
1516,local,adj,local,지역의,A-1-a
1517,satisfacer,v,satisfy,만족시키다,A-3
1518,concebir,v,"conceive, understand","상상하다, 임신하다",A-3
1519,ministro,nm/f,"(government) secretary, minister",장관,A-3
1520,impulso,nm,"impulse, momentum",충동,A-2
1521,reaccionar,v,react,반응하다,A-2
1522,comercio,nm,"commerce, trade","상업, 무역",A-3
1523,naturalmente,adv,naturally,자연스럽게,A-2
1524,acusar,v,accuse,고발하다,A-2
1525,espera,nf,wait,기다림,B-2
1526,gastar,v,spend (money),쓰다,B-2
1527,reserva,nf,"reservation, reserve",예약,A-2
1528,regalar,v,give (as a gift),선물하다,B-2
1529,competencia,nf,"competition, contest",경쟁,A-3
1530,quejar,v,complain,불평하다,B-2
1531,penetrar,v,"penetrate, come in",침투하다,A-2
1532,vacío,adj,"empty, vacant",텅 빈,B-2
1533,aislado,adj,isolated,고립된,A-3
1534,rendir,v,[se] to give in; to render,"굴복하다, 바치다",A-3
1535,observación,nf,observation,관찰,A-2
1536,registrar,v,"register, record",등록하다,A-3
1537,limpiar,v,clean,청소하다,B-2
1538,vacío,nm,"emptiness, void",공허함,B-2
1539,atribuir,v,attribute,~의 탓으로 돌리다,A-2
1540,cifra,nf,"figure, number, amount","숫자, 액수",B-2
1541,ocultar,v,hide,숨기다,A-3
1542,escala,nf,"scale, ladder, rank","규모, 등급",A-3
1543,enterar,v,find out [se],알게 되다,B-2
1544,procedimiento,nm,"procedure, proceedings",절차,A-2
1545,ajustar,v,"adjust, tighten",조정하다,B-2
1546,fórmula,nf,formula,공식,A-1-b
1547,ámbito,nm,"sphere, space",영역,B-2
1548,informe,nm,report,보고서,A-3
1549,dimensión,nf,"dimension, size",차원,A-2
1550,cliente,nc,"client, customer",고객,A-1-b
1551,manifestación,nf,"protest, manifestation","시위, 표현",A-2
1552,aspirar,v,"aspire, want",열망하다,A-2
1553,pico,nm,"y pico: and a bit; beak, peak","부리, 꼭대기, 조금 넘음",B-2
1554,sensibilidad,nf,sensitivity,감성,A-2
1555,recurrir,v,resort to,의지하다,B-2
1556,múltiple,adj,"multiple, many",다수의,A-2
1557,regreso,nm,return,귀환,B-2
1558,temperatura,nf,temperature,온도,A-2
1559,julio,nm,July,7월,B-2
1560,poderoso,adj,powerful,강력한,B-2
1561,digno,adj,worthy,~할 가치가 있는,A-3
1562,bomba,nf,"bomb, explosion, pump","폭탄, 펌프",A-1-b
1563,órgano,nm,organ,"기관, 장기",A-1-a
1564,inútil,adj,useless,쓸모없는,A-2
1565,avance,nm,"advance, progress",진전,B-2
1566,humanidad,nf,"humanity, mankind",인류,A-2
1567,firma,nf,"company, signature, signing","회사, 서명",A-1-a
1568,soldado,nm/f,soldier,군인,A-3
1569,sólido,adj,"solid, strong",고체의,A-2
1570,firme,adj,"firm, steady",확고한,A-1-a
1571,extremo,adj,extreme,극도의,A-2
1572,conforme,adj,in agreement,동의하는,A-3
1573,esencial,adj,essential,필수적인,A-2
1574,huir,v,"flee, run away",도망치다,B-2
1575,percibir,v,"perceive, notice",인지하다,A-2
1576,clima,nm,climate,기후,A-2
1577,emoción,nf,"emotion, excitement",감정,A-2
1578,automóvil,nm,automobile,자동차,A-2
1579,transcurrir,v,"occur, take place",(시간이) 흐르다,B-2
1580,mal,nm,evil,악,B-2
1581,recomendar,v,recommend,추천하다,A-2
1582,habilidad,nf,"ability, skill, talent",능력,A-2
1583,identidad,nf,identity,정체성,A-2
1584,desgracia,nf,"misfortune, bad luck",불행,A-3
1585,corregir,v,"correct, rectify",수정하다,A-2
1586,amarillo,adj,yellow,노란,B-2
1587,consultar,v,consult,상담하다,A-2
1588,deber,nm,"duty, obligation",의무,A-3
1589,cola,nf,"line, queue, tail","줄, 꼬리",B-2
1590,padecer,v,suffer,"(병을) 앓다, 겪다",B-2
1591,progreso,nm,progress,진보,A-1-b
1592,elaborar,v,"make, develop",만들다,A-2
1593,soñar,v,dream,꿈꾸다,B-2
1594,muestra,nf,"proof, sample, sign","견본, 증거",B-2
1595,acostumbrado,adj,accustomed,익숙한,A-3
1596,hábito,nm,habit,습관,A-1-a
1597,gritar,v,shout,소리치다,B-2
1598,artístico,adj,artistic,예술적인,A-2
1599,mecanismo,nm,mechanism,메커니즘,A-2
1600,vivienda,nf,"housing, dwelling",주거,B-2
1601,ocupado,adj,"busy, occupied","바쁜, 차지된",B-2
1602,área,nf (el),"area, zone",지역,A-1-a
1603,traducir,v,translate,번역하다,A-2
1604,efectivamente,adv,"in fact, actually, indeed",실제로,A-2
1605,interesado,adj,(self) interested,관심있는,A-2
1606,mezcla,nf,"mixture, blend",혼합물,B-2
1607,excesivo,adj,excessive,과도한,A-2
1608,sumar,v,"add up, amount to",더하다,B-2
1609,alimentar,v,"feed, support","먹이다, 부양하다",A-3
1610,habitación,nf,"room, bedroom, habitat",방,A-2
1611,instrucción,nf,instruction,지시,A-2
1612,eliminar,v,"eliminate, exclude",제거하다,A-2
1613,versión,nf,"version, account",버전,A-2
1614,lujo,nm,luxury,사치,A-3
1615,intervención,nf,intervention,개입,A-2
1616,llegada,nf,arrival,도착,B-2
1617,alrededor,nm,"surrounding area, vicinity",주변,B-2
1618,testigo,nm,witness,증인,B-2
1619,dominio,nm,"power, control","지배, 영역",A-3
1620,raza,nf,"race, lineage","인종, 품종",A-1-b
1621,renunciar,v,"give up, renounce",포기하다,A-3
1622,descubrimiento,nm,discovery,발견,B-2
1623,vacaciones,nf,vacation,휴가,A-2
1624,provincia,nf,"province, region","도, 지방",A-2
1625,saber,nm,knowledge,지식,B-2
1626,argentino,adj,Argentine,아르헨티나의,A-3
1627,cómodo,adj,"comfortable, convenient",편안한,A-3
