순위,스페인어,품사,의미,분류코드
1319,excepción,nf,exception,A-2
1320,sorprender,v,surprise,A-2
1321,ausencia,nf,absence,A-2
1322,proceder,v,"proceed, start",A-2
1323,condenar,v,"convict, condemn",A-2
1324,sombra,nf,"shade, shadow",B-2
1325,similar,adj,similar,A-1-a
1326,consumir,v,"consume, take in",A-2
1327,sugerir,v,"suggest, hint at",A-2
1328,activo,adj,active,A-1-a
1329,clásico,adj,classic,A-2
1330,profundidad,nf,"depth, profundity",B-2
1331,conceder,v,"grant, concede",A-2
1332,reciente,adj,recent,A-2
1333,eléctrico,adj,electric,A-2
1334,leche,nf,milk,B-2
1335,consideración,nf,"consideration, regard",A-2
1336,componer,v,"compose, be part of",A-2
1337,premio,nm,"prize, reward",B-2
1338,bello,adj,"beautiful, fine",B-2
1339,nacimiento,nm,"birth, origin",B-2
1340,invierno,nm,winter,B-2
1341,diciembre,nm,December,A-3
1342,brillante,adj,"brilliant, shiny, sparkling",A-2
1343,comportamiento,nm,"behavior, conduct",B-2
1344,crítica,nf,"criticism, critique",A-2
1345,femenino,adj,"feminine, female",A-2
1346,fuego,nm,"fire, gunfire",B-2
1347,tendencia,nf,"tendency, style",A-2
1348,fino,adj,"fine, delicate",A-1-a
1349,norma,nf,"standard, pattern, norm",A-1-a
1350,inferior,adj,"lower, inferior",A-1-a
1351,arreglar,v,"fix, arrange",B-2
1352,rueda,nf,wheel,B-2
1353,puente,nm,bridge,B-2
1354,animar,v,cheer up,A-2
1355,rasgo,nm,"feature, trait",B-2
1356,positivo,adj,positive,A-2
1357,cuento,nm,"story, tale",B-2
1358,definitivamente,adv,"definitely, finally",A-2
1359,signo,nm,"sign, mark, symbol",A-1-a
1360,señal,nf,"sign, mark, token",B-2
1361,apuntar,v,"point, note, aim",B-2
1362,campaña,nf,campaign,A-3
1363,liberar,v,"free, liberate",A-2
1364,puerto,nm,"port, harbor",A-1-b
1365,profundamente,adv,"profoundly, deeply",A-3
1366,aventura,nf,adventure,A-2
1367,pesado,adj,"heavy, boring, tiresome",B-2
1368,complicado,adj,"complicated, complex",A-2
1369,añadir,v,add,B-2
1370,marca,nf,"mark, brand, trademark",A-1-a
1371,girar,v,"rotate, revolve",A-3
1372,ilusión,nf,"illusion, hope, dream",A-2
1373,os,pron,you (obj-pl/+fam),B-1
1374,compra,nf,"shopping, buy, purchase",B-2
1375,inteligencia,nf,intelligence,A-2
1376,volar,v,fly,B-2
1377,loco,adj,"crazy, insane",B-2
1378,virtud,nf,"virtue, quality",A-2
1379,remedio,nm,"alternative, cure, solution",A-3
1380,delicado,adj,delicate,A-2
1381,facilitar,v,facilitate,A-2
1382,territorio,nm,territory,A-2
1383,facultad,nf,"faculty, ability",A-2
1384,solicitar,v,"solicit, request",A-2
1385,fotografía,nf,photograph,A-2
1386,techo,nm,roof,B-2
1387,temer,v,fear,B-2
1388,conducta,nf,"conduct, behavior",A-2
1389,violento,adj,violent,A-2
1390,aquél,pron,that one over there (m),B-1
1391,salto,nm,"jump, hop, skip",B-2
1392,pan,nm,bread,A-3
1393,atacar,v,attack,B-2
1394,sano,adj,"healthy, wholesome",B-2
1395,pegar,v,"hit, stick (on)",B-2
1396,juzgar,v,judge,A-3
1397,limpio,adj,clean,B-2
1398,disposición,nf,"disposal, disposition",A-2
1399,posterior,adj,"rear, backside",A-2
1400,general,nm,general,A-1-a
1401,disciplina,nf,"discipline, subject",A-2
1402,relacionado,adj,"related, regarding",A-2
1403,habitual,adj,"usual, habitual, customary",A-2
1404,personal,nm,"personnel, staff, staffing",A-1-a
1405,interrumpir,v,interrupt,A-2
1406,columna,nf,"column, spine",A-2
1407,verdaderamente,adv,truly,B-2
1408,fabricar,v,manufacture,A-3
1409,únicamente,adv,only,B-2
1410,nervioso,adj,"nervous, uptight",A-2
1411,indio,nm,Indian,A-2
1412,gato,nm,cat,A-4
1413,margen,nmf,"edge, margin, border, brink",A-1-b
1414,material,adj,material,A-1-a
1415,resistencia,nf,"resistance, opposition",A-2
1416,consciente,adj,"conscious, aware",A-2
1417,pérdida,nf,loss,B-2
1418,tratamiento,nm,"treatment, processing",A-3
1419,entrevista,nf,"interview, meeting",B-2
1420,espectáculo,nm,"spectacle, show",B-2
1421,personalidad,nf,"personality, celebrity",A-2
1422,mayo,nm,May,B-2
1423,confiar,v,"trust, confide",B-2
1424,operar,v,operate,A-2
1425,representación,nf,representation,A-2
1426,régimen,nm,"regime, diet",A-3
1427,punta,nf,"tip, point",B-2
1428,vital,adj,"vital, lively, essential",A-1-a
1429,alegría,nf,"joy, happiness",B-2
1430,basar,v,"base on, base upon",A-1-b
1431,igualmente,adv,equally,A-2
1432,misión,nf,"mission, task",A-2
1433,estimar,v,"estimate, hold in esteem",A-2
1434,cotidiano,adj,daily,B-2
1435,confirmar,v,confirm,A-2
1436,empleo,nm,"work, job, occupation",A-2
1437,previo,adj,previous,A-3
1438,participación,nf,"participation, involvement",A-2
1439,integrar,v,"integrate, fit in",A-2
1440,período,nm,"period, time",A-2
1441,busca,nf,"search, hunt",B-2
1442,superficie,nf,"surface, area",A-2
1443,aprobar,v,"pass (test), approve",A-3
1444,chino,adj,Chinese,B-2
1445,pasión,nf,"passion, desire",A-2
1446,vehículo,nm,"vehicle, car",A-2
1447,inteligente,adj,intelligent,A-2
1448,grabar,v,"record, engrave",A-3
1449,enero,nm,January,B-2
1450,capítulo,nm,chapter,A-3
1451,fracaso,nm,"failure, collapse",B-2
1452,experto,nm,expert,A-1-b
1453,inquietud,nf,"restlessness, anxiety",B-2
1454,nuevamente,adv,"anew, again",B-2
1455,once,num,eleven,B-2
1456,listo,adj,"ready, clever, smart",B-2
1457,equivocar,v,be wrong,B-2
1458,organismo,nm,"organization, organism, (human) body",A-2
1459,canción,nf,song,B-2
1460,religión,nf,religion,A-2
1461,correspondiente,adj,corresponding,A-2
1462,departamento,nm,"department, apartment",A-2
1463,generalmente,adv,"generally, usually",A-2
1464,periodista,nc,journalist,A-2
1465,seguido,adj,"in a row, successive",B-2
1466,llorar,v,cry,B-2
1467,griego,adj,Greek,B-2
1468,interpretación,nf,"interpretation, interpreting",A-2
1469,maestro,adj,master,A-3
1470,barato,adj,inexpensive,B-2
1471,proyectar,v,project,A-2
1472,belleza,nf,beauty,B-2
1473,universidad,nf,"university, college",A-2
1474,riqueza,nf,"riches, wealth",B-2
1475,notable,adj,"outstanding, noteworthy",A-2
1476,beber,v,drink,B-2
1477,claramente,adv,clearly,A-2
1478,rato,nm,"moment, while, time",B-2
1479,encargado,adj,in charge of,B-2
1480,técnico,adj,technical,A-2
1481,ciego,adj,blind,B-2
1482,individual,adj,individual,A-1-a
1483,apreciar,v,appreciate,A-2
1484,experimentar,v,"experience, experiment",A-2
1485,justamente,adv,"just, exactly",A-2
1486,amar,v,love,A-3
1487,equilibrio,nm,balance,B-2
1488,universal,adj,universal,A-1-a
1489,ah,interj,oh,B-1
1490,fruto,nm,"fruit, result",A-3
1491,representante,nc,representative,A-2
1492,robar,v,"rob, steal",B-2
1493,reír,v,laugh (at),A-3
1494,literario,adj,literary,A-2
1495,exceso,nm,excess,A-2
1496,capa,nf,"layer, coat",B-2
1497,defecto,nm,defect,A-2
1498,fábrica,nf,"factory, manufacture",A-3
1499,espalda,nf,back (body),B-2
1500,mezclar,v,mix,B-2
1501,género,nm,"sort, gender, genre",A-3
1502,continuo,adj,continuous,A-2
1503,distribuir,v,"distribute, deliver",A-2
1504,economía,nf,"economy, economics, thriftiness",A-2
1505,apartar,v,"move away, separate",B-2
1506,bosque,nm,forest,B-2
1507,reclamar,v,"demand, require",A-3
1508,paisaje,nm,landscape,B-2
1509,quemar,v,burn,B-2
1510,llamado,nm,"call, calling",B-2
1511,paciente,nc,patient,A-2
1512,elevado,adj,"elevated, high, lofty",A-2
1513,obedecer,v,obey,B-2
1514,tensión,nf,"tension, stress, strain",A-2
1515,establecido,adj,established,A-2
1516,local,adj,local,A-1-a
1517,satisfacer,v,satisfy,A-3
1518,concebir,v,"conceive, understand",A-3
1519,ministro,nm/f,"(government) secretary, minister",A-3
1520,impulso,nm,"impulse, momentum",A-2
1521,reaccionar,v,react,A-2
1522,comercio,nm,"commerce, trade",A-3
1523,naturalmente,adv,naturally,A-2
1524,acusar,v,accuse,A-2
1525,espera,nf,wait,B-2
1526,gastar,v,spend (money),B-2
1527,reserva,nf,"reservation, reserve",A-2
1528,regalar,v,give (as a gift),B-2
1529,competencia,nf,"competition, contest",A-3
1530,quejar,v,complain,B-2
1531,penetrar,v,"penetrate, come in",A-2
1532,vacío,adj,"empty, vacant",B-2
1533,aislado,adj,isolated,A-3
1534,rendir,v,[se] to give in; to render,A-3
1535,observación,nf,observation,A-2
1536,registrar,v,"register, record",A-3
1537,limpiar,v,clean,B-2
1538,vacío,nm,"emptiness, void",B-2
1539,atribuir,v,attribute,A-2
1540,cifra,nf,"figure, number, amount",B-2
1541,ocultar,v,hide,A-3
1542,escala,nf,"scale, ladder, rank",A-3
1543,enterar,v,find out [se],B-2
1544,procedimiento,nm,"procedure, proceedings",A-2
1545,ajustar,v,"adjust, tighten",B-2
1546,fórmula,nf,formula,A-1-b
1547,ámbito,nm,"sphere, space",B-2
1548,informe,nm,report,A-3
1549,dimensión,nf,"dimension, size",A-2
1550,cliente,nc,"client, customer",A-1-b
1551,manifestación,nf,"protest, manifestation",A-2
1552,aspirar,v,"aspire, want",A-2
1553,pico,nm,"y pico: and a bit; beak, peak",B-2
1554,sensibilidad,nf,sensitivity,A-2
1555,recurrir,v,resort to,B-2
1556,múltiple,adj,"multiple, many",A-2
1557,regreso,nm,return,B-2
1558,temperatura,nf,temperature,A-2
1559,julio,nm,July,B-2
1560,poderoso,adj,powerful,B-2
1561,digno,adj,worthy,A-3
1562,bomba,nf,"bomb, explosion, pump",A-1-b
1563,órgano,nm,organ,A-1-a
1564,inútil,adj,useless,A-2
1565,avance,nm,"advance, progress",B-2
1566,humanidad,nf,"humanity, mankind",A-2
1567,firma,nf,"company, signature, signing",A-1-a
1568,soldado,nm/f,soldier,A-3
1569,sólido,adj,"solid, strong",A-2
1570,firme,adj,"firm, steady",A-1-a
1571,extremo,adj,extreme,A-2
1572,conforme,adj,in agreement,A-3
1573,esencial,adj,essential,A-2
1574,huir,v,"flee, run away",B-2
1575,percibir,v,"perceive, notice",A-2
1576,clima,nm,climate,A-2
1577,emoción,nf,"emotion, excitement",A-2
1578,automóvil,nm,automobile,A-2
1579,transcurrir,v,"occur, take place",B-2
1580,mal,nm,evil,B-2
1581,recomendar,v,recommend,A-2
1582,habilidad,nf,"ability, skill, talent",A-2
1583,identidad,nf,identity,A-2
1584,desgracia,nf,"misfortune, bad luck",A-3
1585,corregir,v,"correct, rectify",A-2
1586,amarillo,adj,yellow,B-2
1587,consultar,v,consult,A-2
1588,deber,nm,"duty, obligation",A-3
1589,cola,nf,"line, queue, tail",B-2
1590,padecer,v,suffer,B-2
1591,progreso,nm,progress,A-1-b
1592,elaborar,v,"make, develop",A-2
1593,soñar,v,dream,B-2
1594,muestra,nf,"proof, sample, sign",B-2
1595,acostumbrado,adj,accustomed,A-3
1596,hábito,nm,habit,A-1-a
1597,gritar,v,shout,B-2
1598,artístico,adj,artistic,A-2
1599,mecanismo,nm,mechanism,A-2
1600,vivienda,nf,"housing, dwelling",B-2
1601,ocupado,adj,"busy, occupied",B-2
1602,área,nf (el),"area, zone",A-1-a
1603,traducir,v,translate,A-2
1604,efectivamente,adv,"in fact, actually, indeed",A-2
1605,interesado,adj,(self) interested,A-2
1606,mezcla,nf,"mixture, blend",B-2
1607,excesivo,adj,excessive,A-2
1608,sumar,v,"add up, amount to",A-1-b
1609,alimentar,v,"feed, support",A-3
1610,habitación,nf,"room, bedroom, habitat",A-2
1611,instrucción,nf,instruction,A-2
1612,eliminar,v,"eliminate, exclude",A-2
1613,versión,nf,"version, account",A-2
1614,lujo,nm,luxury,A-3
1615,intervención,nf,intervention,A-2
1616,llegada,nf,arrival,B-2
1617,alrededor,nm,"surrounding area, vicinity",B-2
1618,testigo,nm,witness,B-2
1619,dominio,nm,"power, control",A-3
1620,raza,nf,"race, lineage",A-1-b
1621,renunciar,v,"give up, renounce",A-3
1622,descubrimiento,nm,discovery,B-2
1623,vacaciones,nf,vacation,A-2
1624,provincia,nf,"province, region",A-2
1625,saber,nm,knowledge,B-2
1626,argentino,adj,Argentine,A-3
1627,cómodo,adj,"comfortable, convenient",A-3
1628,acostumbrar,v,be accustomed to,A-3
1629,fácilmente,adv,easily,A-3
1630,claridad,nf,"clearness, clarity",A-2
1631,negativo,adj,"negative, pessimistic",A-2
1632,revisar,v,"check, revise, inspect",A-2
1633,carecer,v,be without,B-2
1634,científico,adj,scientific,A-2
1635,arena,nf,sand,B-2
1636,postura,nf,"posture, position, attitude",A-3
1637,salón,nm,"hall, room",B-2
1638,escenario,nm,"stage, setting, scene",A-3
1639,armado,adj,armed,B-2
1640,largo,nm,a lo largo: throughout; length,B-3
1641,prometer,v,promise,A-2
1642,contento,adj,"happy, content",A-3
1643,hotel,nm,hotel,A-1-a
1644,oficio,nm,"job, occupation, function",A-3
1645,descender,v,descend,A-2
1646,cubierto,adj,covered,B-2
1647,fila,nf,"line, row, file",B-2
1648,patrón,nm,"employer, landlord, patron saint",A-3
1649,pecho,nm,"chest, breast",B-2
1650,tienda,nf,"shop, store, tent",B-2
1651,típico,adj,typical,A-2
1652,protección,nf,protection,A-2
1653,funcionario,nm,civil servant,A-2
1654,reproducir,v,"reproduce, repeat",A-2
1655,constar,v,"consist of, comprise",A-2
1656,crítico,adj,critical,A-2
1657,transporte,nm,"transportation, transport",A-2
1658,red,nf,"network, net, system",B-2
1659,caída,nf,"fall, drop, falling",B-2
1660,castellano,adj,"Castilian, Spanish",B-2
1661,asociar,v,associate with,A-2
1662,desconocer,v,"not know, not recognize",B-2
1663,valle,nm,valley,A-1-b
1664,fallar,v,"fail, miss",B-2
1665,vuelo,nm,flight,B-2
1666,vecino,adj,"nearby, neighboring",B-2
1667,sexo,nm,sex,A-1-a
1668,iniciativa,nf,initiative,A-2
1669,increíble,adj,"incredible, unbelievable",A-2
1670,concentración,nf,"concentration, gathering",A-2
1671,grito,nm,"cry, shout, scream",B-2
1672,esencia,nf,essence,A-2
1673,cocina,nf,kitchen,B-2
1674,mental,adj,mental,A-1-a
1675,reflejo,nm,reflection,A-2
1676,definición,nf,definition,A-2
1677,preocupado,adj,"worried, concerned",A-3
1678,perdonar,v,"forgive, excuse",A-3
1679,obstante,adj,no + obstante: nevertheless,B-2
1680,abogado,nm/f,lawyer,A-3
1681,agradecer,v,thank for,B-2
1682,admirar,v,admire,A-2
1683,sesión,nf,"session, meeting",A-2
1684,íntimo,adj,"close, intimate",A-3
1685,reloj,nm,"clock, watch",B-2
1686,estrecho,adj,narrow,B-2
1687,muchacho,nm,boy,B-2
1688,octubre,nm,October,A-3
1689,exposición,nf,"exhibition, display",A-2
1690,ingreso,nm,"entrance, admission, income",A-3
1691,revelar,v,"reveal, disclose",A-2
1692,dibujo,nm,"drawing, sketch",B-2
1693,frecuente,adj,frequent,A-2
1694,inevitable,adj,"inevitable, unavoidable",A-2
1695,hueso,nm,bone,A-3
1696,ligero,adj,"light (in weight), slight",B-2
1697,militar,nm,"soldier, military person",A-2
1698,motor,nm,"engine, motor",A-1-a
1699,oposición,nf,opposition,A-2
1700,patio,nm,"courtyard, playground, yard",A-1-a
1701,fruta,nf,fruit,A-1-a
1702,ideal,nm,"ideal, goal",A-1-a
1703,izquierdo,adj,left (opposite of right),B-2
1704,ti,pron,you (obj prep-sg/+fam),B-1
1705,actor,nm,actor,A-1-a
1706,confusión,nf,confusion,A-2
1707,bonito,adj,"pretty, nice",B-2
1708,agregar,v,"add, gather",A-3
1709,corriente,adj,"current, common",A-2
1710,traje,nm,"suit, dress, costume",B-2
1711,exigencia,nf,"requirement, demand",B-2
1712,víctima,nf,"victim, casualty",A-1-b
1713,playa,nf,"beach, seaside",B-2
1714,trabajador,nm/f,"worker, laborer",B-2
1715,primario,adj,primary,A-2
1716,hierro,nm,iron,B-2
1717,ideal,adj,ideal,A-1-a
1718,completar,v,complete,A-2
1719,tela,nf,"cloth, fabric",B-2
1720,ancho,adj,wide,B-2
1721,producción,nf,production,A-2
1722,febrero,nm,February,A-3
1723,símbolo,nm,symbol,A-2
1724,agradable,adj,"nice, pleasant",B-2
1725,medicina,nf,medicine,A-2
1726,combatir,v,fight against,A-2
1727,búsqueda,nf,search,B-2
1728,colectivo,adj,"collective, joint",A-2
1729,tranquilidad,nf,"tranquility, peace",A-2
1730,espejo,nm,"mirror, reflection",B-2
1731,secreto,adj,secret,A-1-b
1732,comprensión,nf,understanding,A-2
1733,incapaz,adj,incapable,A-2
1734,cerebro,nm,brain,B-2
1735,satisfecho,adj,satisfied,B-2
1736,reducido,adj,"reduced, limited",A-2
1737,tiro,nm,"throw, shot",B-2
1738,aportar,v,"provide, contribute",B-2
1739,derivar,v,"derive, come (from)",A-2
1740,abuelo,nm,grandfather,B-2
1741,prohibir,v,"prohibit, forbid",A-2
1742,proporcionar,v,supply,A-2
1743,maravilloso,adj,"wonderful, marvelous",B-2
1744,saludar,v,"greet, say hello",A-3
1745,relacionar,v,relate,A-2
1746,declaración,nf,"declaration, statement",A-2
1747,relativo,adj,relative,A-2
1748,sujeto,nm,"subject, individual",A-2
1749,investigar,v,investigate,A-2
1750,ubicar,v,"find, locate",B-2
1751,enseñanza,nf,"teaching, instruction",B-2
1752,musical,adj,musical,A-2
1753,permiso,nm,"permission, permit",A-2
1754,evolución,nf,"evolution, development",A-2
1755,tío,nm,"uncle, guy",B-2
1756,moral,nf,"morals, ethics",A-1-a
1757,redondo,adj,round,B-2
1758,modificar,v,modify,A-2
1759,sujeto,adj,"fastened, subject to",A-2
1760,parque,nm,park,A-1-a
1761,ingeniero,nm/f,engineer,A-2
1762,lavar,v,wash,B-2
1763,borde,nm,edge,B-2
1764,invadir,v,"invade, overcome",A-2
1765,entusiasmo,nm,enthusiasm,A-2
1766,evidentemente,adv,"evidently, obviously",A-2
1767,independencia,nf,independence,A-2
1768,mentira,nf,lie,B-2
1769,exclusivamente,adv,exclusively,A-2
1770,sueldo,nm,"salary, pay",B-2
1771,desplazar,v,"replace, move, shift",B-2
1772,comparación,nf,comparison,A-2
1773,setenta,num,seventy,B-2
1774,romano,adj,Roman,A-1-b
1775,sagrado,adj,sacred,A-3
1776,seno,nm,"breast, bosom, cavity",B-2
1777,adelantar,v,move forward,B-2
1778,canto,nm,"singing, chant",B-2
1779,potencia,nf,"power, potential",A-3
1780,examinar,v,"examine, inspect",A-2
1781,oficial,nc,"official, officer",A-2
1782,fortuna,nf,"fortune, fate",A-1-b
1783,crimen,nm,"crime, murder",A-1-b
1784,suave,adj,"soft, gentle, mild",B-2
1785,opuesto,adj,"opposite, contrary",B-2
1786,sustituir,v,"substitute, replace",A-2
1787,ciudadano,nm,citizen,B-2
1788,implicar,v,"implicate, imply",A-3
1789,baño,nm,"bathroom, bath, swim",B-2
1790,sabio,adj,"wise, learned",B-2
1791,ingresar,v,"join, deposit, admit",B-2
1792,respirar,v,breathe,A-3
1793,caliente,adj,"hot, warm, spirited",B-2
1794,reconocimiento,nm,"recognition, acknowledgment",B-2
1795,exterior,nm,"exterior, outside",A-1-a
1796,sexual,adj,sexual,A-2
1797,respectivo,adj,respective,A-2
1798,situado,adj,"situated, located",A-2
1799,crédito,nm,"credit, reputation",A-2
1800,alternativa,nf,alternative,A-2
1801,rodeado,adj,surrounded,B-2
1802,esconder,v,"hide, conceal",B-2
1803,cuando,adv,when,B-2
1804,canal,nm,"channel, canal",A-1-a
1805,suficientemente,adv,enough,A-2
1806,agente,nc,agent,A-2
1807,pago,nm,payment,B-2
1808,filosofía,nf,philosophy,A-2
1809,alterar,v,"alter, modify",A-1-b
1810,lector,nm,"reader, lecturer",A-3
1811,emitir,v,"emit, give (off)",A-2
1812,magnífico,adj,"magnificent, splendid",A-2
1813,triunfo,nm,"triumph, victory",A-2
1814,inclinar,v,"bow, tilt, incline",A-2
1815,campesino,adj,rural,A-3
1816,sábado,nm,Saturday,B-2
1817,amiga,nf,friend (f),B-2
1818,carretera,nf,"highway, road",B-2
1819,desprender,v,"detach, release, remove",B-2
1820,efectivo,adj,effective,A-2
1821,victoria,nf,"victory, triumph",A-1-b
1822,circular,v,"circulate, go around, flow",A-2
1823,pelear,v,"fight, struggle",B-2
1824,pájaro,nm,bird,B-2
1825,biblioteca,nf,library,A-3
1826,reflexión,nf,reflection,A-2
1827,aplicado,adj,applied,A-2
1828,aconsejar,v,"advise, counsel",B-2
1829,vocación,nf,"vocation, calling",A-2
1830,casado,adj,married,B-2
1831,continente,nm,continent,A-2
1832,severo,adj,severe,A-1-b
1833,tabla,nf,"chart, board, table, plank",A-1-b
1834,justo,adj,"fair, just",A-1-a
1835,ensayo,nm,"essay, rehearsal",B-2
1836,plato,nm,"plate, dish",B-2
1837,jardín,nm,garden,B-2
1838,imaginación,nf,"imagination, fantasy",A-2
1839,precioso,adj,"beautiful, precious",A-3
1840,probable,adj,probable,A-2
1841,poesía,nf,"poetry, poem",A-3
1842,guardia,nc,"guard, watch, lookout",A-3
1843,privilegio,nm,privilege,A-2
1844,monte,nm,mountain,A-3
1845,conmigo,pron,with me,B-1
1846,arrojar,v,"throw, fling",B-2
1847,precisión,nf,precision,A-2
1848,sacrificio,nm,sacrifice,A-2
1849,criticar,v,criticize,A-2
1850,hundir,v,"sink, submerge",B-2
1851,hilo,nm,"thread, yarn, wire",A-3
1852,entendido,adj,understood,B-2
1853,aparentemente,adv,apparently,A-2
1854,aparición,nf,"appearance, apparition",A-2
1855,poema,nm,poem,A-1-b
1856,avanzado,adj,advanced,A-2
1857,curiosidad,nf,"curiosity, quaintness",A-2
1858,afuera,adv,outside,B-2
1859,diente,nm,"tooth, cog",A-3
1860,primo,nm,cousin,A-3
1861,encerrar,v,shut (in),B-2
1862,latino,adj,Latin,A-1-a
1863,apariencia,nf,"appearance, aspect",B-2
1864,novedad,nf,"latest news, newness",B-2
1865,espiritual,adj,spiritual,A-2
1866,limitado,adj,limited,A-2
1867,castigo,nm,"punishment, penalty",B-2
1868,constantemente,adv,constantly,A-2
1869,denominar,v,"call, name",A-2
1870,vestido,adj,dressed,B-2
1871,carro,nm,"car, cart",A-1-b
1872,eterno,adj,eternal,A-2
1873,aumento,nm,"increase, rise",B-2
1874,pobreza,nf,"poverty, lack, scarcity",B-2
1875,impulsar,v,"push, promote, drive",A-2
1876,caro,adj,"expensive, difficult, dear",B-2
1877,empujar,v,"push, shove",B-2
1878,dólar,nm,dollar,A-1-a
1879,inicial,adj,initial,A-1-a
1880,local,nm,"place, quarters",A-1-a
1881,dictar,v,"dictate, announce",A-3
1882,dulce,adj,sweet,B-2
1883,chocar,v,"crash into, collide with",B-2
1884,industria,nf,"industry, factory",A-2
1885,caballero,nm,"gentleman, knight",B-2
1886,especialista,nc,specialist,A-2
1887,temporada,nf,"season, period, time",A-3
1888,divino,adj,divine,A-1-b
1889,humor,nm,"mood, humor",A-1-a
1890,borrar,v,erase,B-2
1891,nación,nf,nation,A-2
1892,felicidad,nf,happiness,A-3
1893,amante,nc,lover,B-2
1894,alejado,adj,"remote, distant, aloof",B-2
1895,aguantar,v,"endure, put up with",B-2
1896,coger,v,"hold, take, catch",B-2
1897,cálculo,nm,"calculation, calculus",A-2
1898,composición,nf,"composition, make-up, essay",A-2
1899,rapidez,nf,"speed, velocity",B-2
1900,huevo,nm,egg,B-2
1901,elemental,adj,"elemental, basic",A-2
1902,crecimiento,nm,"growth, increase",B-2
1903,clave,nf,key,B-2
1904,golpear,v,"hit, strike",B-2
1905,tragedia,nf,tragedy,A-2
1906,colección,nf,collection,A-2
1907,chica,nf,"girl, female",B-2
1908,prestigio,nm,prestige,A-2
1909,ascender,v,"ascend, be promoted",A-2
1910,sección,nf,"section, cut",A-2
1911,complicar,v,"complicate, make difficult",A-2
1912,anciano,adj,"elderly, aged",B-2
1913,fiel,adj,"faithful, loyal",A-3
1914,roto,adj,"broken, torn",B-2
1915,bolsa,nf,"bag, purse, stock exchange",B-2
1916,cinta,nf,"tape, ribbon, film, strip",B-2
1917,engañar,v,"trick, deceive",B-2
1918,elegante,adj,"elegant, smart, stylish",A-2
1919,agotar,v,"exhaust, wear out, run out",B-2
1920,cuello,nm,"neck, collar",B-2
1921,continuación,nf,"continuation, follow-up",A-2
1922,abril,nm,April,A-3
1923,precisar,v,"do exactly, specify",A-2
1924,actuación,nf,"performance, acting",B-2
1925,factor,nm,"factor, cause, influence",A-1-a
1926,esquina,nf,corner,B-2
1927,hombro,nm,shoulder,B-2
1928,infancia,nf,"infancy, childhood",A-2
1929,suspender,v,"suspend, hang, fail",A-2
1930,descanso,nm,"rest, interval, break",B-2
1931,ampliar,v,"enlarge, increase, expand",B-2
1932,zapato,nm,shoe,B-2
1933,parecer,nm,"opinion, looks",B-2
1934,familiar,nm,relative,A-1-a
1935,mérito,nm,"worth, merit",A-1-b
1936,cultivar,v,"cultivate, produce",A-2
1937,oportuno,adj,"opportune, timely",A-2
1938,explotar,v,"explode, exploit",A-2
1939,significativo,adj,"significant, meaningful",A-2
1940,despedir,v,"say goodbye (to), dismiss",B-2
1941,suelto,adj,loose,B-2
1942,muro,nm,"(outer) wall, rampart",A-3
1943,colaborar,v,"collaborate, work together",A-2
1944,menudo,adv,a menudo: often,B-2
1945,invertir,v,invest,A-2
1946,montón,nm,"lot of, heap, pile",B-2
1947,revolucionario,adj,revolutionary,A-2
1948,disco,nm,"disc, disk, record",A-1-b
1949,indispensable,adj,"indispensable, essential",A-2
1950,demanda,nf,"petition, request, demand",A-2
1951,mundial,adj,worldwide,B-2
1952,mueble,nm,(piece of) furniture,B-2
1953,desastre,nm,disaster,A-2
1954,secreto,nm,secret,A-1-b
1955,oriental,adj,"eastern, oriental",A-2
1956,regular,adj,regular,A-1-a
1957,angustia,nf,"anguish, distress",B-2
1958,provenir,v,"come from, be from",B-2
1959,forzar,v,force,A-1-b
1960,doméstico,adj,domestic,A-2
1961,nube,nf,cloud,B-2
1962,criar,v,"bring up, rear",B-2
1963,miseria,nf,"misery, wretchedness",A-1-b
1964,personalmente,adv,personally,A-2
1965,peor,adj,"worse, worst",B-2
1966,significado,nm,meaning,A-3
1967,fama,nf,"reputation, fame",A-1-b
1968,palacio,nm,palace,A-1-b
1969,oído,nm,"hearing, ear",B-2
1970,conveniente,adj,convenient,A-2
1971,polvo,nm,"dust, powder",B-2
1972,confesar,v,"confess, admit",A-2
1973,mecánico,adj,mechanical,A-2
1974,sacerdote,nm,priest,B-2
1975,lentamente,adv,slowly,B-2
1976,eficaz,adj,effective,A-3
1977,lección,nf,lesson,A-3
1978,rosa,nf,rose,A-1-a
1979,nocturno,adj,"nocturnal, evening",A-2
1980,posiblemente,adv,possibly,A-2
1981,doblar,v,"bend, turn",B-2
1982,disminuir,v,"decrease, diminish",A-3
1983,averiguar,v,"investigate, find out",B-2
1984,sospechar,v,"suspect, suppose",A-2
1985,pasear,v,"go for a walk, ride",B-2
1986,olor,nm,"smell, odor, fragrance",A-3
1987,radical,adj,radical,A-1-a
1988,decidido,adj,"determined, resolute",B-2
1989,contrato,nm,"contract, agreement",A-2
1990,presentación,nf,"presentation, introduction",A-2
1991,cárcel,nf,"jail, prison",A-3
1992,división,nf,division,A-2
1993,revés,nm,"al revés: backwards, upside down, inside out",B-2
1994,sucio,adj,"dirty, filthy, underhanded",B-2
1995,depositar,v,"deposit, place, store",A-2
1996,captar,v,"capture, attract",B-2
1997,cualidad,nf,"quality, attribute",B-2
1998,empeñar,v,[se] to insist on,B-2
1999,sobrevivir,v,"survive, outlive",A-3
2000,índice,nm,"index, forefinger",A-3
